experiment_id,parent_experiment,description,feature_set,model_type,parameters,blend,calibration,hypothesis,expected_mechanism,expected_affected_segments,source_predictions,brier_2022,brier_2023,brier_2024,weighted_brier,brier_R,brier_F,logloss_2024,auc_2024,prediction_mean_2024,target_mean_2024,runtime_seconds,peak_memory_mb,delta_weighted_vs_direct,delta_weighted_vs_running_champion,status,notes
EXP001,,Exact committed V3 calibrated walk-forward reproduction,V3 full,stored prediction,{},simplex,identity,The committed artifacts reproduce the claimed V3 reference exactly.,Artifact consistency check,all folds,pred_calibrated_walk_forward,0.24343408607709838,0.2499957711152198,0.2479638457284729,0.24789395939679082,0.248068490746426,0.24718451058760438,0.6890599268744111,0.5479154231184498,0.48774847638234814,0.4861049201797189,0.060437917709350586,806.18359375,,,reference,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP002,EXP001,V3 direct-only reference,87-column legacy direct,CatBoost OOF,{},simplex,identity,Most V3 complexity adds little independent Brier signal; direct-only will be competitive.,Remove expert variance,R and F,pred_direct,0.24343408607709838,0.24997697806118138,0.24809020263689152,0.24795781778020953,0.24817687147332357,0.24744474362536018,0.6893137540178849,0.5473083333495224,0.4952781880282828,0.4861049201797189,0.07404923439025879,806.18359375,0.0,6.385838341871342e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP003,EXP002,Direct plus structured failure formula,stored OOF sources,simplex blend,{},simplex,identity,Failure decomposition contains weak residual signal not present in direct probabilities.,Blend different failure-mode errors,high predicted failure,"pred_direct,pred_structured_formula",0.24343408607709838,0.24997697806118138,0.24805569173329797,0.24793883678323306,0.24812172363999013,0.24756392455402473,0.6892445610108272,0.547474714535058,0.49360321669783885,0.4861049201797189,15.986791372299194,806.18359375,-1.8980996976475373e-05,4.487738644223804e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP004,EXP002,Direct plus learned failure-logit source,stored OOF sources,simplex blend,{},simplex,identity,A learned failure combiner is better calibrated than the deterministic formula.,Correct formula misspecification,failure-heavy pitches,"pred_direct,pred_structured_logit",0.24343408607709838,0.24997697806118138,0.24809801461871195,0.24796211437021076,0.24818272235333183,0.24746716075118988,0.6893295822706508,0.5473238625853241,0.4955688590737431,0.4861049201797189,12.251805067062378,806.18359375,4.2965900012292835e-06,6.81549734199427e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP005,EXP002,Direct plus physics expert,stored OOF sources,simplex blend,{},simplex,identity,Cohort TrackMan mechanics correct direct-model residuals.,Independent mechanics signal,pitchers with mechanical drift,"pred_direct,pred_physics",0.24343408607709838,0.24997629226604692,0.24810980962595738,0.2479683958856554,0.2481702254316327,0.24765986789583347,0.6893531853146793,0.547371064001112,0.4959887925289809,0.4861049201797189,13.590149164199829,806.18359375,1.0578105445857577e-05,7.4436488864571e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP006,EXP002,Direct plus Futures router,stored OOF sources,simplex blend,{},simplex,identity,A post-regime F specialist improves F without changing R.,Domain adaptation,F,"pred_direct,pred_futures_anchor",0.24343408607709838,0.2499588878400527,0.24806200647948629,0.24793688282729803,0.24817687147332357,0.24720655891108742,0.6892571663203533,0.5476829677619284,0.49495410976351817,0.4861049201797189,16.929539442062378,806.18359375,-2.0934952911499938e-05,4.292343050721348e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP007,EXP002,"Direct plus formula, physics, and Futures",stored OOF sources,simplex blend,{},simplex,identity,Only the plausible nonzero V3 sources are needed; dropping failure-logit reduces noise.,Diverse residual correction,F and failure-heavy pitches,"pred_direct,pred_structured_formula,pred_physics,pred_futures_anchor",0.24343408607709838,0.24994903474513713,0.24803337293013775,0.24791817844668168,0.2481194448704857,0.2473923592529653,0.6891999473738604,0.547929259260362,0.49354558321294156,0.4861049201797189,25.42044234275818,806.18359375,-3.9639333527852205e-05,2.421904989086121e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP008,EXP001,Rebuilt full V3 five-source walk-forward blend,stored OOF sources,simplex blend,{},simplex,identity,Refitting the exact full source set reproduces the pre-calibration V3 blend.,Exact source ablation control,all folds,"pred_direct,pred_structured_formula,pred_structured_logit,pred_physics,pred_futures_anchor",0.24343408607709838,0.24994541469674125,0.24803878479431252,0.24792006895745902,0.24811927830857644,0.24743931598533378,0.6892108399269625,0.5479154231184498,0.4936860258848416,0.4861049201797189,29.22899866104126,806.18359375,-3.7748822750510724e-05,2.610956066820269e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP009,EXP002,Temporally affine-calibrated direct,87-column legacy direct,CatBoost + affine,{},simplex,affine,The direct model's annual mean drift can be corrected without experts.,Correct slope/intercept drift,2024 and F,pred_direct,0.24343408607709838,0.2500244644358904,0.2480818437778396,0.24796746632014366,0.24817218694437393,0.24740902049590274,0.689296596687585,0.5473083333495224,0.49516498307961165,0.4861049201797189,0.08332562446594238,806.18359375,9.648539934126177e-06,7.350692335283959e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP010,EXP007,Affine-calibrated compact V3 blend,stored OOF sources,simplex + affine,{},simplex,affine,Calibration supplies most of the full stack's Brier gain after weak sources are removed.,Blend resolution plus mean correction,2024,"pred_direct,pred_structured_formula,pred_physics,pred_futures_anchor",0.24343408607709838,0.24999902901134308,0.24802115178776712,0.2479264550982396,0.24811163027299807,0.24734732073099708,0.6891749338168537,0.547929259260362,0.49350599671651685,0.4861049201797189,24.90836787223816,806.18359375,-3.136268196993197e-05,3.2495701448781444e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP011,EXP002,V3 direct plus V2 legacy direct,stored V2/V3 OOF,simplex blend,{},simplex,identity,Two independently trained direct baselines have useful seed/training-path diversity.,Average uncorrelated training noise,all folds,"pred_direct,pred_legacy_global",0.24343408607709838,0.24997697944140312,0.24808626783192264,0.24795565405154313,0.2481728188145918,0.24744168652657098,0.6893057647081583,0.5473769047109734,0.4954432759639619,0.4861049201797189,15.64771032333374,806.18359375,-2.163728666404463e-06,6.169465475230895e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP012,EXP011,V3 direct plus V2 game-type expert,stored V2/V3 OOF,simplex blend,{},simplex,identity,The older R/F expert contains domain signal missed by V3 direct.,Cross-version domain diversity,R/F,"pred_direct,pred_game_type",0.24343408607709838,0.24978950908613623,0.24829424371414727,0.2480137996801866,0.24840673203911046,0.24745649619117815,0.6897244926838318,0.5457807764655475,0.49872409779669036,0.4861049201797189,15.821679830551147,806.18359375,5.598189997707559e-05,0.000119840283395789,rejected,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP013,EXP012,Game-type-specific source weights,stored V2/V3 OOF,per-type simplex,{},type_simplex,identity,R and F require different ensemble weights after the 2023 F regime change.,Domain-specific pooling,F,"pred_direct,pred_structured_formula,pred_futures_anchor,pred_game_type",0.24343408607709838,0.2494019863246681,0.24824218916126622,0.2478689128476616,0.24838002228921932,0.24721568830827967,0.6896196791639309,0.5457935276158877,0.4966806497737904,0.4861049201797189,24.70322608947754,806.18359375,-8.890493254792853e-05,-2.5046549129215112e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP014,EXP007,Conservative logit-space stack,stored OOF sources,regularized logit stack,{'penalty': 0.02},logit,identity,Logit blending captures source scale differences better than a probability simplex.,Correct source scale,probability tails,"pred_direct,pred_structured_formula,pred_physics,pred_futures_anchor",0.24343408607709838,0.2500117799110538,0.24812275237886358,0.24798616069325588,0.24810217590602715,0.24827599396331956,0.6893788691816223,0.5464229180306861,0.4928370937796817,0.4861049201797189,0.4547278881072998,825.328125,2.8342913046347507e-05,0.00011724784559427603,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP015,EXP010,Game-type affine calibration,stored OOF sources,simplex + type affine,{'eta': 0.75},simplex,type_affine,Residual calibration bias differs between R and F and merits partial type offsets.,Correct domain prior shift conservatively,F,"pred_direct,pred_structured_formula,pred_physics,pred_futures_anchor",0.24343408607709838,0.2500216965239921,0.24799820686899296,0.24792063564670852,0.24811643325905092,0.24711772557946335,0.6891284352246249,0.5479075394962489,0.4925163840068548,0.4861049201797189,24.29038643836975,825.328125,-3.7182133501012515e-05,5.172279904691601e-05,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
EXP016,EXP007,Simple mean of plausible V3 sources,stored OOF sources,mean blend,{},mean,identity,A fixed equal blend is more stable than fold-fitted weights under drift.,Reduce meta-model selection variance,all folds,"pred_direct,pred_structured_formula,pred_physics,pred_futures_anchor",0.24343408607709838,0.2499434302688282,0.24813261891691482,0.24797108239651638,0.24811238010872752,0.24828334577174455,0.689399316684347,0.546302634333325,0.49179069571181244,0.4861049201797189,0.08904862403869629,825.328125,1.3264616306851718e-05,0.00010216954885478025,interesting_diagnostic,Post-hoc stored-OOF diagnostic; base folds used validation early stopping and candidate comparison is not an unbiased holdout.
